persona_id,household_id,weight
P00212,17101606,0.00448330
P00213,17101606,0.00448330
P00062,17100458,0.02323714
P00214,17101617,74.03062433
P00215,17101619,0.00030300
P00216,17101626,0.00193080
P00217,17101626,0.00193080
P00218,17101635,0.01666608
P00219,17101657,0.01200263
P00220,17101667,0.00076331
P00221,17101667,0.00076331
P00222,17101667,0.00076331
P00223,17101667,0.00076331
P00224,17101681,0.01643941
P00225,17101681,0.01643941
P00226,17101681,0.01643941
P00227,17101681,0.01643941
P00228,17101681,0.01643941
P00229,17101692,0.00015800
P00230,17101692,0.00015800
P00231,17101697,0.01281284
P00232,17101697,0.01281284
P00233,17101697,0.01281284
P00234,17101697,0.01281284
P00235,17101698,0.82622811
P00236,17101698,0.82622811
P00237,17101704,0.00229113
P00238,17101704,0.00229113
P00239,17101714,0.00026612
P00240,17101720,0.02641941
P00241,17101720,0.02641941
P00242,17101745,0.00582882
P00243,17101745,0.00582882
P00244,17101745,0.00582882
P00245,17101785,0.03106149
P00246,17101792,0.01864881
P00247,17101792,0.01864881
P00248,17101852,0.01022572
P00249,17101852,0.01022572
P00250,17101852,0.01022572
P00251,17101852,0.01022572
P00252,17101853,0.00096682
P00253,17101853,0.00096682
P00254,17101853,0.00096682
P00255,17101855,0.00220086
P00256,17101867,0.00263429
P00257,17101873,0.00084419
P00258,17101873,0.00084419
P00259,17101882,0.00925669
P00260,17101886,0.00341930
P00261,17101898,0.00186961
P00012,17100111,0.01662637
P00262,17101898,0.00186961
P00312,17102398,0.00263429
P00162,17101223,0.01567991
P00013,17100111,0.01662637
P00063,17100477,74.03062433
P00112,17100836,0.00602476
P00263,17101898,0.00186961
P00264,17101909,0.00169195
P00265,17101909,0.00169195
P00266,17101909,0.00169195
P00267,17101922,0.00250422
P00268,17101922,0.00250422
P00269,17101928,0.00058004
P00270,17101928,0.00058004
P00271,17101944,0.00141747
P00272,17101944,0.00141747
P00273,17101947,0.00164647
P00274,17101949,0.00029618
P00275,17101949,0.00029618
P00276,17101953,0.00022995
P00277,17101953,0.00022995
P00278,17101956,0.00076512
P00279,17101956,0.00076512
P00280,17101985,0.00663745
P00281,17101985,0.00663745
P00282,17101988,0.00550442
P00283,17101988,0.00550442
P00284,17101988,0.00550442
P00285,17102003,0.00341930
P00286,17102061,0.00067135
P00287,17102061,0.00067135
P00288,17102109,0.01788694
P00289,17102166,0.01281284
P00290,17102166,0.01281284
P00291,17102166,0.01281284
P00292,17102166,0.01281284
P00293,17102227,0.00101672
P00294,17102252,0.00017167
P00295,17102269,0.00042163
P00296,17102269,0.00042163
P00297,17102273,0.00030300
P00298,17102274,0.01864881
P00299,17102274,0.01864881
P00300,17102276,0.00408358
P00301,17102280,0.17049071
P00302,17102289,0.00200691
P00303,17102289,0.00200691
P00304,17102289,0.00200691
P00305,17102289,0.00200691
P00306,17102313,0.01449423
P00307,17102374,0.00760510
P00308,17102374,0.00760510
P00309,17102374,0.00760510
P00310,17102387,0.02117622
P00311,17102387,0.02117622
P00014,17100111,0.01662637
P00163,17101223,0.01567991
P00064,17100477,74.03062433
P00313,17102408,0.00154640
P00113,17100836,0.00602476
P00015,17100111,0.01662637
P00164,17101223,0.01567991
P00065,17100477,74.03062433
P00165,17101236,0.02598159
P00114,17100837,0.00115983
P00166,17101240,0.00815365
P00314,17102408,0.00154640
P00016,17100137,0.00986720
P00066,17100477,74.03062433
P00115,17100859,0.00084419
P00167,17101240,0.00815365
P00315,17102449,0.00072880
P00017,17100149,0.06675318
P00168,17101250,0.00028943
P00116,17100859,0.00084419
P00018,17100149,0.06675318
P00067,17100482,0.01147371
P00316,17102449,0.00072880
P00169,17101250,0.00028943
P00117,17100868,0.00782132
P00118,17100868,0.00782132
P00119,17100889,0.00661288
P00120,17100892,0.00572758
P00121,17100892,0.00572758
P00122,17100907,74.03062433
P00123,17100908,0.00427628
P00124,17100924,0.00260282
P00125,17100924,0.00260282
P00126,17100924,0.00260282
P00127,17100939,0.00760332
P00128,17100939,0.00760332
P00129,17100939,0.00760332
P00130,17100939,0.00760332
P00131,17100942,0.02135912
P00132,17100952,0.00670204
P00133,17100952,0.00670204
P00134,17100957,0.00008855
P00135,17100957,0.00008855
P00136,17100964,0.00085856
P00137,17100964,0.00085856
P00138,17100982,0.01449423
P00139,17100984,0.00124831
P00140,17100984,0.00124831
P00141,17100984,0.00124831
P00142,17100986,0.00408358
P00143,17100992,0.00043095
P00144,17101013,0.07488227
P00145,17101031,0.00572758
P00146,17101031,0.00572758
P00147,17101042,0.04842332
P00148,17101064,0.03871912
P00149,17101079,0.01431464
P00150,17101086,0.00427738
P00151,17101086,0.00427738
P00152,17101086,0.00427738
P00153,17101128,0.00373364
P00154,17101128,0.00373364
P00155,17101130,0.00294054
P00156,17101179,0.00036137
P00157,17101179,0.00036137
P00158,17101213,0.00458728
P00159,17101213,0.00458728
P00160,17101223,0.01567991
P00161,17101223,0.01567991
P00170,17101263,0.00220086
P00019,17100149,0.06675318
P00020,17100149,0.06675318
P00171,17101275,0.01788694
P00317,17102461,0.00341930
P00068,17100492,0.00277074
P00021,17100179,0.01118660
P00318,17102466,0.18093889
P00022,17100179,0.01118660
P00069,17100501,0.00263429
P00172,17101291,0.02323714
P00070,17100563,0.00007931
P00023,17100179,0.01118660
P00319,17102485,0.04074985
P00173,17101319,0.00220086
P00320,17102485,0.04074985
P00174,17101325,0.00250422
P00071,17100569,0.00065588
P00024,17100203,0.02686125
P00072,17100590,0.00408358
P00175,17101325,0.00250422
P00321,17102485,0.04074985
P00025,17100203,0.02686125
P00322,17102485,0.04074985
P00073,17100627,0.00986720
P00026,17100203,0.02686125
P00176,17101335,0.00356403
