persona_id,household_id,weight
P00212,17101606,0.47008029
P00213,17101606,0.47008029
P00062,17100458,2.01553243
P00214,17101617,1.52131050
P00215,17101619,0.13513785
P00216,17101626,0.27998228
P00217,17101626,0.27998228
P00218,17101635,2.27968172
P00219,17101657,0.68688864
P00220,17101667,0.13691005
P00221,17101667,0.13691005
P00222,17101667,0.13691005
P00223,17101667,0.13691005
P00224,17101681,0.62374138
P00225,17101681,0.62374138
P00226,17101681,0.62374138
P00227,17101681,0.62374138
P00228,17101681,0.62374138
P00229,17101692,0.02973035
P00230,17101692,0.02973035
P00231,17101697,0.32913780
P00232,17101697,0.32913780
P00233,17101697,0.32913780
P00234,17101697,0.32913780
P00235,17101698,0.97991654
P00236,17101698,0.97991654
P00237,17101704,1.55430213
P00238,17101704,1.55430213
P00239,17101714,1.49670970
P00240,17101720,1.70969506
P00241,17101720,1.70969506
P00242,17101745,0.14910639
P00243,17101745,0.14910639
P00244,17101745,0.14910639
P00245,17101785,3.87728457
P00246,17101792,0.61534422
P00247,17101792,0.61534422
P00248,17101852,0.70282864
P00249,17101852,0.70282864
P00250,17101852,0.70282864
P00251,17101852,0.70282864
P00252,17101853,0.11659544
P00253,17101853,0.11659544
P00254,17101853,0.11659544
P00255,17101855,1.14797472
P00256,17101867,0.45854814
P00257,17101873,0.17500354
P00258,17101873,0.17500354
P00259,17101882,1.47212936
P00260,17101886,0.36057239
P00261,17101898,0.13719420
P00012,17100111,0.25331954
P00262,17101898,0.13719420
P00312,17102398,0.45854814
P00162,17101223,0.25853934
P00013,17100111,0.25331954
P00063,17100477,1.79867584
P00112,17100836,0.19760340
P00263,17101898,0.13719420
P00264,17101909,0.21527277
P00265,17101909,0.21527277
P00266,17101909,0.21527277
P00267,17101922,0.47618248
P00268,17101922,0.47618248
P00269,17101928,0.04948893
P00270,17101928,0.04948893
P00271,17101944,0.49023036
P00272,17101944,0.49023036
P00273,17101947,0.59675276
P00274,17101949,0.05326974
P00275,17101949,0.05326974
P00276,17101953,0.10513294
P00277,17101953,0.10513294
P00278,17101956,0.14652470
P00279,17101956,0.14652470
P00280,17101985,0.50492625
P00281,17101985,0.50492625
P00282,17101988,0.84110450
P00283,17101988,0.84110450
P00284,17101988,0.84110450
P00285,17102003,0.36057239
P00286,17102061,0.78665279
P00287,17102061,0.78665279
P00288,17102109,0.92291119
P00289,17102166,0.32913780
P00290,17102166,0.32913780
P00291,17102166,0.32913780
P00292,17102166,0.32913780
P00293,17102227,0.35592517
P00294,17102252,1.83286083
P00295,17102269,0.35198002
P00296,17102269,0.35198002
P00297,17102273,0.13513785
P00298,17102274,0.61534422
P00299,17102274,0.61534422
P00300,17102276,0.37444930
P00301,17102280,5.80310311
P00302,17102289,0.17546888
P00303,17102289,0.17546888
P00304,17102289,0.17546888
P00305,17102289,0.17546888
P00306,17102313,0.61447367
P00307,17102374,0.30881078
P00308,17102374,0.30881078
P00309,17102374,0.30881078
P00310,17102387,0.38063524
P00311,17102387,0.38063524
P00014,17100111,0.25331954
P00163,17101223,0.25853934
P00064,17100477,1.79867584
P00313,17102408,0.28401265
P00113,17100836,0.19760340
P00015,17100111,0.25331954
P00164,17101223,0.25853934
P00065,17100477,1.79867584
P00165,17101236,2.21543979
P00114,17100837,0.13676495
P00166,17101240,0.38462225
P00314,17102408,0.28401265
P00016,17100137,1.79922994
P00066,17100477,1.79867584
P00115,17100859,0.17500354
P00167,17101240,0.38462225
P00315,17102449,0.06672085
P00017,17100149,0.87809338
P00168,17101250,0.04824929
P00116,17100859,0.17500354
P00018,17100149,0.87809338
P00067,17100482,0.94967319
P00316,17102449,0.06672085
P00169,17101250,0.04824929
P00117,17100868,0.91986034
P00118,17100868,0.91986034
P00119,17100889,0.62781075
P00120,17100892,0.76182835
P00121,17100892,0.76182835
P00122,17100907,0.90736523
P00123,17100908,0.45642808
P00124,17100924,0.73397314
P00125,17100924,0.73397314
P00126,17100924,0.73397314
P00127,17100939,0.36641051
P00128,17100939,0.36641051
P00129,17100939,0.36641051
P00130,17100939,0.36641051
P00131,17100942,5.80310311
P00132,17100952,2.49936847
P00133,17100952,2.49936847
P00134,17100957,0.79397074
P00135,17100957,0.79397074
P00136,17100964,0.13128572
P00137,17100964,0.13128572
P00138,17100982,0.61447367
P00139,17100984,0.16255995
P00140,17100984,0.16255995
P00141,17100984,0.16255995
P00142,17100986,0.37444930
P00143,17100992,2.50941971
P00144,17101013,5.18286393
P00145,17101031,0.76182835
P00146,17101031,0.76182835
P00147,17101042,3.76802186
P00148,17101064,2.97668947
P00149,17101079,2.02489434
P00150,17101086,0.22798497
P00151,17101086,0.22798497
P00152,17101086,0.22798497
P00153,17101128,0.25784573
P00154,17101128,0.25784573
P00155,17101130,0.68313253
P00156,17101179,0.04756459
P00157,17101179,0.04756459
P00158,17101213,0.77279493
P00159,17101213,0.77279493
P00160,17101223,0.25853934
P00161,17101223,0.25853934
P00170,17101263,1.14797472
P00019,17100149,0.87809338
P00020,17100149,0.87809338
P00171,17101275,0.92291119
P00317,17102461,0.36057239
P00068,17100492,0.24006886
P00021,17100179,0.30376927
P00318,17102466,5.80310311
P00022,17100179,0.30376927
P00069,17100501,0.45854814
P00172,17101291,2.01553243
P00070,17100563,0.56827149
P00023,17100179,0.30376927
P00319,17102485,0.91030884
P00173,17101319,1.14797472
P00320,17102485,0.91030884
P00174,17101325,0.47618248
P00071,17100569,0.43586362
P00024,17100203,1.27010588
P00072,17100590,0.37444930
P00175,17101325,0.47618248
P00321,17102485,0.91030884
P00025,17100203,1.27010588
P00322,17102485,0.91030884
P00073,17100627,1.79922994
P00026,17100203,1.27010588
P00176,17101335,1.92472220
P00074,17100652,0.99720754
P00027,17100203,1.27010588
P00323,17102485,0.91030884
P00177,17101344,0.86488736
P00324,17102502,0.62781075
P00075,17100652,0.99720754
P00178,17101344,0.86488736
P00028,17100208,0.14489966
P00076,17100652,0.99720754
P00325,17102549,0.07830360
P00029,17100208,0.14489966
P00030,17100208,0.14489966
P00326,17102549,0.07830360
P00179,17101344,0.86488736
P00077,17100654,0.86431842
P00031,17100221,1.83286083
P00032,17100231,0.61534422
P00180,17101375,0.27423961
P00078,17100654,0.86431842
P00033,17100231,0.61534422
P00327,17102556,0.56827149
P00328,17102575,2.71344306
P00034,17100233,0.76498616
P00181,17101375,0.27423961
P00329,17102577,1.11066366
P00079,17100654,0.86431842
P00182,17101375,0.27423961
P00183,17101375,0.27423961
P00330,17102577,1.11066366
P00035,17100233,0.76498616
P00080,17100663,0.59675276
P00184,17101379,1.00414879
P00036,17100238,0.61534422
P00081,17100673,0.13128572
P00331,17102577,1.11066366
P00185,17101379,1.00414879
P00082,17100673,0.13128572
P00083,17100675,1.59224505
P00332,17102577,1.11066366
P00037,17100238,0.61534422
P00186,17101379,1.00414879
P00084,17100681,0.28401265
P00187,17101379,1.00414879
P00038,17100248,4.82737674
P00333,17102578,0.49569008
P00188,17101385,0.45642808
P00085,17100681,0.28401265
P00039,17100255,0.62781075
P00189,17101391,1.12844107
P00334,17102578,0.49569008
P00086,17100717,3.76802186
P00190,17101391,1.12844107
P00040,17100280,5.63957041
P00335,17102608,0.01824837
P00191,17101436,0.53437749
P00041,17100291,1.24441394
P00087,17100739,1.86715559
P00192,17101436,0.53437749
P00193,17101448,0.13934798
P00042,17100291,1.24441394
P00194,17101448,0.13934798
P00088,17100739,1.86715559
P00336,17102618,0.14217110
P00195,17101469,0.68182756
P00337,17102628,0.13513785
P00089,17100739,1.86715559
P00196,17101469,0.68182756
P00043,17100303,0.07830360
P00090,17100760,0.17054306
P00338,17102630,0.35592517
P00044,17100303,0.07830360
P00197,17101469,0.68182756
P00339,17102637,0.34936195
P00091,17100760,0.17054306
